ts,timestamp,latitudeLog,longitudeLog,temp_data,hPa_data,hum_data,lux_data,ox_data,red_data,nh3_data,pm1_data,pm25_data,pm10_data
1637317062,19/11/2021 10:17,52.07881167,5.124756667,18.32965325,1029.726778,66.29238447,896.18955,3.060402685,514.3703704,115.1111111,6,8,8
1637317065,19/11/2021 10:17,52.07881333,5.124756667,18.33079454,1029.727012,66.22649422,886.28625,3.117082534,514.3703704,115.5877437,5,7,9
1637317067,19/11/2021 10:17,52.07881333,5.124756667,18.33667403,1029.717027,66.02105555,884.7555,3.117082534,519.7009346,115.5877437,6,7,8
1637317070,19/11/2021 10:17,52.07881333,5.124758333,18.3419254,1029.726782,65.90520564,883.4092,3.117082534,519.7009346,116.5490196,5,7,8
1637317072,19/11/2021 10:17,52.07881333,5.124758333,18.34951742,1029.727897,65.89493776,872.5285,3.173871278,519.7009346,116.5490196,4,7,7
1637317075,19/11/2021 10:17,52.07881333,5.124761667,18.36121953,1029.736822,65.80684851,865.74185,3.173871278,519.7009346,116.5490196,5,7,9
1637317078,19/11/2021 10:17,52.07881333,5.124761667,18.37491979,1029.724612,65.72955774,860.11705,3.173871278,514.3703704,116.5490196,5,7,9
1637317080,19/11/2021 10:18,52.07881167,5.124765,18.39609831,1029.723371,65.69125204,852.353,3.230769231,514.3703704,116.5490196,5,8,10
1637317083,19/11/2021 10:18,52.07881167,5.124765,18.42241442,1029.736602,65.71456223,845.93525,3.230769231,514.3703704,116.0670391,5,10,12
1637317086,19/11/2021 10:18,52.07881,5.124771667,18.45107119,1029.742907,65.63160722,852.53745,3.230769231,514.3703704,116.0670391,7,10,10
1637317088,19/11/2021 10:18,52.07881,5.124771667,18.47567478,1029.736471,65.63251704,859.693,3.287776708,514.3703704,116.5490196,7,11,18
1637317091,19/11/2021 10:18,52.07880667,5.124778333,18.49040257,1029.729205,65.48834246,877.9137,3.287776708,519.7009346,117.0337079,7,14,20
1637317094,19/11/2021 10:18,52.07880667,5.124778333,18.49017386,1029.739385,65.65652898,898.4581,3.287776708,514.3703704,117.5211268,7,12,16
1637317096,19/11/2021 10:18,52.07880333,5.124785,18.49782281,1029.744123,65.52958701,912.58475,3.344894027,514.3703704,118.0112994,6,13,14
1637317099,19/11/2021 10:18,52.07880333,5.124785,18.49930665,1029.744853,65.34093659,933.3136,3.344894027,514.3703704,118.5042493,5,13,14
1637317102,19/11/2021 10:18,52.0788,5.124793333,18.50552868,1029.742213,65.27479004,958.32095,3.344894027,514.3703704,118.5042493,6,11,12
